Wall time,Step,Value
1692653896.8501353,10,2.57069993019104
1692653966.2030745,20,2.5285000801086426
1692654035.3144362,30,2.433799982070923
1692654104.4925241,40,2.236799955368042
1692654173.8417442,50,2.0190000534057617
1692654241.7603328,60,1.7222000360488892
1692654311.9224505,70,1.315500020980835
1692654381.9245996,80,0.9476000070571899
1692654450.0036578,90,0.722599983215332
1692654516.6471646,100,0.646399974822998
1692654587.1927896,110,0.7281000018119812
1692654656.3512557,120,0.6743000149726868
1692654725.8788111,130,0.6384999752044678
1692654792.6633441,140,0.5942999720573425
1692654862.820333,150,0.6535000205039978
1692654931.7500427,160,0.6467999815940857
1692655000.413256,170,0.609000027179718
1692655067.4480977,180,0.5697000026702881
1692655138.2949364,190,0.6352999806404114
1692655208.3460598,200,0.5982000231742859
1692655275.4587448,210,0.5504000186920166
1692655342.286256,220,0.5321999788284302
1692655413.0014002,230,0.6152999997138977
1692655483.4511092,240,0.6050000190734863
1692655552.7917013,250,0.5717999935150146
1692655617.458949,260,0.5077000260353088
1692655688.9833112,270,0.6200000047683716
1692655758.7019002,280,0.5756999850273132
1692655828.4599152,290,0.5813999772071838
1692655897.5695128,300,0.5846999883651733
1692655964.439281,310,0.5110999941825867
1692656033.1347356,320,0.5861999988555908
1692656102.6470528,330,0.5613999962806702
1692656171.9286153,340,0.5604000091552734
1692656239.984951,350,0.5636000037193298
1692656306.4771214,360,0.5378999710083008
1692656376.874885,370,0.6341000199317932
1692656445.1627753,380,0.5476999878883362
1692656513.443518,390,0.5376999974250793
1692656580.8455327,400,0.5385000109672546
1692656651.4437678,410,0.5928999781608582
