Wall time,Step,Value
1692733871.7111406,10,2.563499927520752
1692733940.3740442,20,2.4911000728607178
1692734009.0195,30,2.38319993019104
1692734077.6897733,40,2.196500062942505
1692734146.362195,50,2.0125999450683594
1692734213.8551445,60,1.7745000123977661
1692734283.4920497,70,1.4444999694824219
1692734352.7580512,80,1.108299970626831
1692734420.3775997,90,0.8075000047683716
1692734486.3806584,100,0.6700000166893005
1692734556.415997,110,0.741599977016449
1692734625.2095282,120,0.6852999925613403
1692734694.3772562,130,0.6470000147819519
1692734760.7053697,140,0.6014000177383423
1692734830.4258852,150,0.6625999808311462
1692734898.8137116,160,0.6582000255584717
1692734967.1356862,170,0.6233000159263611
1692735033.5785866,180,0.5940999984741211
1692735103.8731527,190,0.6826000213623047
1692735173.3993819,200,0.6513000130653381
1692735240.1140766,210,0.6050999760627747
1692735306.4057338,220,0.5870000123977661
1692735376.6788685,230,0.6685000061988831
1692735446.5267582,240,0.6599000096321106
1692735515.29358,250,0.6277999877929688
1692735579.5693018,260,0.5662000179290771
